Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;$10;$13;1.66;
C2;$10;$14;0.258;
C3;$10;$26;3.261;
C4;$10;$7;0.698;
C5;$10;b[0];0.003;
C6;$10;b[2];0.439;
C7;$10;b[3];2.105;
C8;$10;b[4];0.012;
C9;$10;DAC_REF;0.012;
C10;$10;I_DAC;0.807;
C11;$10;VDD;9.026;
C12;$10;VSUBS;6.453;
C13;$13;$14;2.934;
C14;$13;$26;0.487;
C15;$13;$7;0.097;
C16;$13;b[0];0.117;
C17;$13;b[1];0.326;
C18;$13;b[2];0.525;
C19;$13;I_DAC;0.361;
C20;$13;VDD;4.694;
C21;$13;VSUBS;2.897;
C22;$14;$26;0.349;
C23;$14;$7;1.178;
C24;$14;b[0];0.14;
C25;$14;b[1];0.126;
C26;$14;I_DAC;0.329;
C27;$14;VDD;2.668;
C28;$14;VSUBS;1.559;
C29;$26;$7;0.329;
C30;$26;b[3];0.073;
C31;$26;b[4];3.887;
C32;$26;DAC_REF;0.154;
C33;$26;I_DAC;1.326;
C34;$26;VDD;11.633;
C35;$26;VSUBS;9.179;
C36;$7;b[0];0.299;
C37;$7;I_DAC;0.054;
C38;$7;VDD;1.701;
C39;$7;VSUBS;1.43;
C40;b[0];b[1];0.05;
C41;b[0];b[2];0.016;
C42;b[1];b[2];0.062;
C43;b[1];b[3];0.0;
C44;b[2];b[3];0.079;
C45;b[3];b[4];0.252;
C46;DAC_REF;VDD;2.644;
C47;DAC_REF;VSUBS;0.962;
C48;I_DAC;b[0];1.153;
C49;I_DAC;b[1];0.66;
C50;I_DAC;b[2];0.794;
C51;I_DAC;b[3];1.625;
C52;I_DAC;b[4];3.571;
C53;I_DAC;VDD;1.187;
C54;I_DAC;VSUBS;3.647;
C55;VDD;b[0];2.273;
C56;VDD;b[1];0.11;
C57;VDD;b[2];0.137;
C58;VDD;b[3];0.228;
C59;VDD;b[4];0.779;
C60;VDD;VSUBS;55.314;
C61;VSUBS;b[0];0.693;
C62;VSUBS;b[1];0.413;
C63;VSUBS;b[2];0.45;
C64;VSUBS;b[3];0.952;
C65;VSUBS;b[4];2.063;
